#genome	scope	assembly_level	total_length	gc	proteins	protein_length	coding_density	completeness	contamination	strain_heterogeneity	16s_copies
G000179715	Monoisolate	Contig	1449613	48.7	1116	426569	86.7183862175629	100.0	0.0	0.0	1
G000179775	Monoisolate	Contig	3731054	56.93	3480	1154769	91.19128267776344	99.46	0.0	0.0	1
G000179815	Monoisolate	Scaffold	3174934	58.59	5038	953314	88.3757898589388	85.76	0.67	0.0	1
G000179915	Monoisolate	Complete Genome	5095226	57.34	4274	1566508	90.5981010459595	100.0	1.72	0.0	1
G000180175	Monoisolate	Complete Genome	4092852	56.84	5094	1166908	83.94879658487528	96.45	0.0	0.0	6
G000180455	Monoisolate	Contig	6676705	43.4	5664	1910463	84.31050945039506	99.12	0.44	0.0	1
G000181475	Monoisolate	Contig	7777997	50.45	6071	2296078	86.99328374644526	100.0	1.77	0.0	2
G000181895	Monoisolate	Scaffold	1252559	27.7	1211	369101	86.81291659714233	100.0	0.0	0.0	2
G000182745	Monoisolate	Complete Genome	3513191	60.58	3351	1038115	87.0548740447075	99.5	0.0	0.0	5
G000183135	Monoisolate	Complete Genome	3685504	38.86	3071	1094936	87.54414592956621	100.0	0.54	0.0	3
G000183325	Monoisolate	Contig	2522962	72.6	2364	746620	87.18680661856976	98.72	0.45	0.0	1
G000183345	Monoisolate	Complete Genome	4894879	50.69	4543	1464244	88.1353144786623	99.97	0.14	0.0	0
G000183405	Monoisolate	Complete Genome	2216552	35.63	2129	707447	94.03754119010065	99.07	0.88	0.0	2
G000183425	Monoisolate	Complete Genome	4516490	35.52	3810	1376278	89.7920951889631	100.0	0.3	0.0	2
G000183525	Monoisolate	Chromosome	3384656	48.18	2849	989268	86.12612330470216	99.36	0.32	0.0	7
G000183545	Monoisolate	Scaffold	2888741	72.04	2375	830117	84.67508855934125	100.0	0.0	0.0	2
G000183565	Monoisolate	Contig	1836030	34.44	1725	558052	89.55376546134866	99.3	0.0	0.0	1
G000183585	Monoisolate	Contig	4099852	43.92	3962	1188540	85.40474143944708	100.0	0.47	100.0	1
G000183665	Monoisolate	Complete Genome	1258278	35.24	1134	343082	80.32620772198194	98.56	0.0	0.0	3
G000183685	Monoisolate	Scaffold	2268397	31.3	2223	660545	85.77969376612647	99.19	0.02	0.0	1
G000183725	Monoisolate	Complete Genome	2819357	44.56	2816	893037	93.3214913897034	99.59	2.05	0.0	3
G000183745	Monoisolate	Complete Genome	2439291	69.81	2384	766943	92.63716383162156	98.72	2.13	0.0	2
G000183885	Monoisolate	Chromosome	3115943	37.42	3570	921133	87.0599365906244	75.61	0.0	0.0	0
G000184345	Monoisolate	Complete Genome	2560222	60.92	2312	817664	94.10945613310095	100.0	0.0	0.0	2
G000184435	Monoisolate	Complete Genome	5783292	67.76	5531	1811353	92.28204282266917	99.81	0.0	0.0	2
G000184535	Monoisolate	Scaffold	2498309	36.38	2487	755016	89.0273781185594	99.78	1.57	0.0	1
G000184685	Monoisolate	Complete Genome	4024382	70.7	3655	1237734	90.62293291243226	100.0	0.54	0.0	2
G000184705	Monoisolate	Complete Genome	2844696	72.48	2383	823379	85.28514118907609	100.0	0.0	0.0	2
G000184745	Monoisolate	Complete Genome	6550056	66.48	6002	2045772	92.0269383956412	100.0	0.0	0.0	2
G000184945	Monoisolate	Scaffold	3284105	51.02	2651	980770	88.0084528357041	99.31	0.34	0.0	1
G000185045	Monoisolate	Contig	1474908	44.56	1549	448432	89.56199301922561	98.52	0.0	0.0	1
G000185145	Monoisolate	Scaffold	2839537	44.54	2353	854598	88.68938844607413	99.29	0.36	0.0	2
G000185365	Monoisolate	Scaffold	2415788	39.17	2334	725050	88.42170753393923	98.34	0.0	0.0	1
G000185385	Monoisolate	Scaffold	3082404	36.46	2906	944033	90.23697088376474	99.36	0.0	0.0	1
G000185425	Monoisolate	Scaffold	2122126	55.55	1816	655172	90.97588927330422	100.0	1.42	0.0	1
G000185445	Monoisolate	Scaffold	2098776	55.62	1774	646595	90.78434287413235	100.0	1.42	0.0	1
G000185465	Monoisolate	Scaffold	1373326	38.88	1350	420019	90.10489861839068	99.37	0.16	0.0	1
G000185505	Multiisolate	Scaffold	2362882	51.63	2256	706365	88.07274337017252	99.88	1.06	0.0	1
G000185725	Monoisolate	Scaffold	3587629	68.2	3502	1099661	90.30716386783584	96.13	0.0	0.0	1
G000185805	Monoisolate	Complete Genome	1759526	52.13	1833	568980	95.27276095948568	99.58	0.84	0.0	3
G000185845	Monoisolate	Scaffold	3274581	41.37	2722	964629	86.80802215611708	98.98	0.0	0.0	1
G000185885	Monoisolate	Complete Genome	2617381	37.53	2456	740540	83.35049425360694	99.43	0.0	0.0	6
G000185905	Monoisolate	Complete Genome	6690028	62.56	6405	1984656	87.39703331585457	99.51	0.6	0.0	2
G000185925	Monoisolate	Contig	3915186	62.89	3922	1208260	90.91859237338916	99.59	0.0	0.0	1
G000185965	Monoisolate	Complete Genome	3419049	70.21	3104	1040301	89.64852507232274	99.66	0.0	0.0	2
G000185985	Monoisolate	Complete Genome	722585	27.51	597	200818	81.8909886034169	96.34	0.0	0.0	1
G000186165	Monoisolate	Scaffold	2169437	49.62	2021	642280	87.22751571029718	99.77	0.23	0.0	1
G000186205	Monoisolate	Contig	2541845	31.83	2404	721600	83.63015840855756	99.67	0.28	0.0	0
G000186245	Monoisolate	Complete Genome	2101285	53.91	2108	645781	90.53902730947968	99.18	0.82	0.0	2
G000186265	Monoisolate	Complete Genome	4888353	33.77	4280	1471791	88.71626087559552	99.67	0.71	0.0	5
G000186345	Monoisolate	Complete Genome	5529304	62.49	3792	1590729	84.79088869051151	98.45	0.0	0.0	3
G000186365	Monoisolate	Complete Genome	1314639	53.14	1373	404657	90.67919025679294	100.0	0.63	0.0	1
G000186425	Monoisolate	Scaffold	3151925	65.58	2546	938707	87.76408068085377	98.66	0.0	0.0	1
G000186705	Monoisolate	Contig	3117324	64.91	2975	975065	92.15788926656325	99.48	0.0	0.0	1
G000186885	Monoisolate	Complete Genome	3851869	58.93	3332	1161378	88.84422081851693	99.15	0.0	0.0	2
G000186945	Monoisolate	Scaffold	2008072	36.78	1973	619876	90.94917911309953	100.0	0.0	0.0	1
G000187005	Monoisolate	Complete Genome	2355186	64.89	2458	756818	94.66653589143277	100.0	0.0	0.0	2
G000187125	Monoisolate	Scaffold	2210307	57.25	2019	678806	90.48602750658618	99.65	0.05	0.0	1
G000187465	Monoisolate	Scaffold	1905984	38.98	1868	576317	89.0791842953561	100.0	0.0	0.0	1
G000187625	Monoisolate	Contig	1635292	39.91	1725	511197	92.09034227526338	99.47	0.12	0.0	1
G000187895	Multispecies	Scaffold	4421924	44.31	3662	1368215	91.18338533181483	99.25	0.68	0.0	3
G000187975	Monoisolate	Contig	2418558	42.19	2185	676739	82.43457465150722	99.25	0.75	0.0	5
G000187995	Monoisolate	Contig	1916985	37.81	1799	558532	85.83979530356262	100.0	0.0	0.0	5
G000188015	Monoisolate	Contig	2234402	38.16	2471	670564	88.39573183339435	100.0	0.0	0.0	3
G000188035	Monoisolate	Contig	2126865	37.13	1988	629721	87.23205281012194	100.0	0.0	0.0	5
G000188055	Monoisolate	Contig	2130431	34.19	2210	646118	89.34276679225941	99.06	0.0	0.0	5
G000188155	Monoisolate	Scaffold	4726034	62.82	4644	1386125	86.40217146131407	99.68	0.86	20.0	2
G000188175	Monoisolate	Scaffold	2121954	47.65	2009	632403	87.80322287853554	100.0	0.6	0.0	1
G000188195	Monoisolate	Scaffold	2306546	40.28	2052	692678	88.48555372405319	100.0	0.0	0.0	1
G000189295	Monoisolate	Complete Genome	3858580	65.21	3472	1158548	88.46741547408632	100.0	0.59	0.0	2
G000189415	Monoisolate	Complete Genome	2272954	35.92	2118	694280	89.99878572113646	100.0	0.0	0.0	5
G000189535	Monoisolate	Complete Genome	4535320	65.37	4246	1384793	89.96143601774517	99.64	0.0	0.0	4
G000189555	Monoisolate	Complete Genome	2522992	35.31	2816	758599	88.56175524932303	99.4	0.0	0.0	1
G000189575	Monoisolate	Complete Genome	2655201	35.15	2930	797304	88.4474282737917	99.4	0.0	0.0	1
G000189595	Monoisolate	Scaffold	5352498	47.73	4856	1563550	86.06592660100013	99.37	0.0	0.0	1
G000189775	Monoisolate	Complete Genome	2534358	34.98	2421	765086	88.942051596499	99.52	0.96	60.0	5
G000190095	Monoisolate	Contig	1978848	30.24	1877	606923	90.36500024256537	100.0	0.0	0.0	1
G000190135	Monoisolate	Contig	1975004	30.28	1859	604386	90.1626528351335	100.0	0.0	0.0	1
G000190155	Monoisolate	Contig	1869210	30.28	1763	572817	90.28937358563243	94.4	0.8	100.0	0
G000190315	Monoisolate	Complete Genome	2298983	42.39	2508	709959	90.9685282579297	100.0	0.74	0.0	1
G000190415	Monoisolate	Contig	2847648	41.97	2515	815482	84.37405184910494	96.24	0.0	0.0	1
G000190435	Monoisolate	Complete Genome	3316466	48.87	3071	1036188	92.05874566481309	97.73	0.0	0.0	4
G000190475	Monoisolate	Contig	3843870	36.71	3988	1124541	86.17354385033833	99.34	0.88	0.0	1
G000190535	Monoisolate	Complete Genome	4392288	43.36	3709	1328673	89.13923677135925	99.46	0.0	0.0	4
G000190555	Monoisolate	Complete Genome	2886836	65.64	2747	864952	88.27401348743052	96.61	0.42	0.0	3
G000190575	Monoisolate	Complete Genome	4308663	46.49	3782	1285044	87.87735313715646	98.41	0.0	0.0	6
G000190595	Monoisolate	Complete Genome	3765936	32.11	3303	1167862	91.38046955657238	99.67	0.0	0.0	4
G000190635	Monoisolate	Complete Genome	3406739	46.35	3335	1018054	88.03900152022213	100.0	0.34	0.0	4
G000190695	Monoisolate	Scaffold	2220455	54.09	2180	654430	86.8245021853629	99.5	0.23	0.0	1
G000190735	Monoisolate	Complete Genome	4635236	36.58	3851	1408800	89.5637244791851	100.0	0.49	0.0	4
G000190755	Monoisolate	Scaffold	4848329	49.51	4422	1431004	86.96037335750111	99.37	1.59	28.57	2
G000191045	Monoisolate	Complete Genome	1541968	34.95	1556	498110	95.17279217208139	99.16	1.69	25.0	2
G000191065	Monoisolate	Scaffold	3057407	51.61	2476	865630	83.42942238308476	99.21	0.0	0.0	1
G000191145	Monoisolate	Complete Genome	3862530	38.82	3581	1154711	88.07791784141482	99.77	0.0	0.0	2
G000191545	Monoisolate	Complete Genome	2097766	38.13	2094	625459	87.8334380479043	98.94	0.0	0.0	4
G000191585	Monoisolate	Complete Genome	2583753	35.83	2522	734798	83.77778371229758	99.2	0.0	0.0	2
G000191725	Monoisolate	Contig	1697099	32.96	1637	524116	90.99209886989505	99.39	0.0	0.0	1
G000191885	Monoisolate	Contig	4324239	41.3	3450	1211544	82.5595440030026	99.46	5.98	92.31	1
G000191925	Monoisolate	Complete Genome	1179213	39.02	998	363667	90.87951031747446	97.89	0.12	0.0	1
G000192225	Monoisolate	Scaffold	2548422	36.67	2379	784729	90.72814471072688	100.0	0.0	0.0	1
G000192435	Monoisolate	Contig	4257286	68.2	3998	1321933	91.49082302668884	99.58	0.0	0.0	1
G000192475	Monoisolate	Contig	4490413	55.74	4412	1383142	90.74840109361878	99.57	0.0	0.0	1
G000192575	Monoisolate	Scaffold	4182647	63.95	3729	1294535	91.1983009802166	99.48	0.0	0.0	1
G000192745	Monoisolate	Complete Genome	4718963	67.13	4426	1426951	89.08976400111635	100.0	0.0	0.0	2
G000192845	Monoisolate	Complete Genome	6226409	41.1	5283	1879909	88.96771798961488	100.0	0.95	0.0	4
G000192865	Monoisolate	Complete Genome	4684316	44.13	4228	1388924	87.36154862310741	99.89	0.64	0.0	7
G000192905	Monoisolate	Contig	1903901	41.65	1769	560516	86.74122236397795	100.0	0.27	0.0	1
G000192925	Monoisolate	Contig	1961697	41.53	1888	579210	86.99003974619933	99.59	0.27	0.0	1
G000192945	Monoisolate	Contig	1856042	41.58	1752	545470	86.58602553174983	99.73	0.27	0.0	1
G000192965	Monoisolate	Contig	1814430	41.7	1756	531925	86.36927299482483	98.28	0.37	0.0	1
G000192985	Monoisolate	Contig	1954090	41.4	1849	574615	86.63613241969408	99.31	0.28	0.0	1
G000193005	Monoisolate	Contig	1904293	41.46	1778	556308	86.0719437607553	98.9	0.27	0.0	1
G000193025	Monoisolate	Contig	1912542	41.56	1769	562715	86.68923349134293	99.45	0.27	0.0	1
G000193045	Monoisolate	Contig	1947635	41.4	1817	573574	86.76769517902481	100.0	0.27	0.0	1
G000193085	Monoisolate	Contig	1776416	41.66	1628	522140	86.60386981427773	100.0	0.27	0.0	0
G000193225	Monoisolate	Contig	4681801	65.67	5017	1440137	90.61307817226746	96.7	3.73	23.81	1
G000193375	Monoisolate	Complete Genome	1936063	59.66	2198	603766	91.855895185229	100.0	0.0	0.0	1
G000193395	Monoisolate	Complete Genome	2937589	50.36	2355	844826	84.74735573968994	99.32	0.0	0.0	4
G000193435	Monoisolate	Complete Genome	2674809	36.13	2594	792238	87.25598724993074	98.96	0.0	0.0	3
G000194135	Monoisolate	Complete Genome	1694430	37.47	1737	547183	95.13783396186328	99.59	1.02	20.0	2
G000194155	Monoisolate	Scaffold	8581920	68.06	8231	2445336	83.93943313384418	98.64	3.0	7.69	1
G000194605	Monoisolate	Complete Genome	4633577	36.49	4095	1427397	90.77304639590537	100.0	0.0	0.0	2
G000194625	Monoisolate	Complete Genome	1901943	47.05	2153	586049	90.75824038890755	99.35	0.0	0.0	1
G000194925	Monoisolate	Scaffold	2470575	59.58	2289	689714	82.24316201693938	98.93	0.23	0.0	1
G000194985	Monoisolate	Scaffold	1281836	35.31	1214	389795	89.59258438677023	99.91	0.0	0.0	1
G000195085	Monoisolate	Complete Genome	1284727	31.67	1424	415093	95.17882009173934	98.81	0.0	0.0	1
G000195185	Monoisolate	Contig	7033319	55.45	5595	2122651	88.94044191654041	99.93	0.0	0.0	1
G000195205	Monoisolate	Contig	4501499	59.42	4528	1364337	89.28939004540487	96.95	0.72	33.33	0
G000195275	Monoisolate	Complete Genome	2897425	39.13	2753	885578	90.0514077154715	100.0	0.7	0.0	4
G000195295	Monoisolate	Complete Genome	3282536	52.89	2966	957123	85.90799918112094	98.06	0.65	0.0	1
G000195315	Monoisolate	Complete Genome	2115681	60.39	1807	632989	88.1585645473018	100.0	0.0	0.0	2
G000195335	Monoisolate	Complete Genome	2269167	68.08	2265	718748	93.31772408112758	99.15	0.0	0.0	3
G000195375	Monoisolate	Contig	2524513	46.87	5315	695659	81.01277355276048	75.67	2.39	0.0	0
G000195635	Monoisolate	Scaffold	4330716	45.57	3624	1332684	90.68207197147076	99.26	0.0	0.0	1
G000195715	Monoisolate	Complete Genome	4086189	67.72	3888	1254330	90.43869483276471	100.0	0.0	0.0	3
G000195735	Monoisolate	Complete Genome	1111523	29.0	897	290736	77.06669137750636	99.59	0.33	0.0	1
G000195755	Monoisolate	Complete Genome	3773159	63.28	3309	1103329	86.15799122167923	99.41	0.0	0.0	5
G000195775	Multiisolate	Complete Genome	5467640	65.03	4968	1619697	87.28083780204989	99.89	0.0	0.0	2
G000195835	Monoisolate	Complete Genome	4345492	65.63	4009	1335166	90.52961091632432	99.78	0.0	0.0	1
G000195855	Monoisolate	Complete Genome	3268203	57.8	3999	765711	68.9615669528484	80.17	0.33	100.0	1
G000195895	Monoisolate	Complete Genome	4873766	39.23	4041	1189352	71.88816615323755	99.84	0.65	0.0	3
G000195915	Monoisolate	Complete Genome	1564906	45.99	1570	470451	88.56321082544255	97.52	0.0	0.0	1
G000195935	Monoisolate	Complete Genome	1768562	44.71	1915	560204	93.3117414034679	100.0	0.0	0.0	1
G000195975	Multiisolate	Complete Genome	2434428	59.41	2719	749478	90.68068556556202	99.46	0.0	0.0	2
G000195995	Monoisolate	Complete Genome	5133713	51.87	5065	1514938	86.93386248900163	100.0	0.26	0.0	7
G000196015	Monoisolate	Complete Genome	6913352	63.53	6364	2065889	88.04588570059792	99.94	0.69	0.0	4
G000196035	Monoisolate	Complete Genome	2944528	37.98	2875	892649	89.31244668075834	99.45	0.27	0.0	6
G000196095	Monoisolate	Complete Genome	5165770	45.37	4583	1513074	86.3008806044404	100.0	0.0	0.0	11
G000196115	Monoisolate	Complete Genome	7145576	55.4	5479	2155014	88.88012666858486	99.93	0.0	0.0	1
G000196135	Monoisolate	Complete Genome	2110355	48.46	2079	677520	94.59029405005319	99.41	0.42	0.0	3
G000196175	Monoisolate	Complete Genome	3782950	50.65	3568	1188050	92.5332610793164	97.75	0.0	0.0	2
G000196235	Monoisolate	Complete Genome	5070478	65.39	4622	1540362	89.51049585463146	99.71	0.0	0.0	5
G000196255	Monoisolate	Complete Genome	6403280	41.73	5823	1795753	82.62223422995714	99.52	0.35	0.0	15
G000196275	Monoisolate	Complete Genome	3247018	66.47	3156	991753	89.98749006011055	99.58	0.0	0.0	4
G000196295	Monoisolate	Complete Genome	2220606	52.28	2035	637888	84.63257327053967	99.92	0.0	0.0	4
G000196315	Monoisolate	Complete Genome	2952962	33.9	2680	930909	92.89137482974722	99.62	0.19	0.0	2
G000196355	Monoisolate	Complete Genome	3234309	53.88	2985	949968	86.53366144051171	99.52	0.48	0.0	1
G000196395	Monoisolate	Complete Genome	5040536	58.18	4784	1470415	85.94133639755772	100.0	0.58	100.0	9
G000196435	Monoisolate	Complete Genome	2642404	38.82	2309	678440	75.63271929651938	100.0	1.06	50.0	2
G000196455	Monoisolate	Complete Genome	2715461	33.3	2556	827460	89.78077755489767	98.46	1.4	0.0	6
G000196495	Monoisolate	Complete Genome	4655660	38.97	4488	1368902	86.62662221897646	99.39	1.71	66.67	12
G000196515	Monoisolate	Complete Genome	5486145	38.37	6570	1266457	67.9424076468996	98.89	0.0	0.0	4
G000196535	Monoisolate	Complete Genome	2146480	55.41	1842	657985	90.32802541835936	100.0	1.54	0.0	2
G000196615	Monoisolate	Complete Genome	5372268	55.04	4893	1599074	87.69787732108674	100.0	0.26	0.0	7
G000196655	Monoisolate	Complete Genome	2406232	36.42	2403	705713	86.39628265271179	100.0	1.96	0.0	2
G000196675	Monoisolate	Complete Genome	7303989	73.22	6865	2217236	89.43808650314232	99.73	1.42	0.0	3
G000196695	Monoisolate	Complete Genome	5043170	68.82	4656	1565135	91.44444863052405	99.94	0.0	0.0	4
G000196735	Monoisolate	Complete Genome	3980199	46.08	4039	1187878	87.91655894592205	99.3	0.78	40.91	10
G000196815	Monoisolate	Complete Genome	4317083	59.03	4086	1301311	88.81045372535112	97.67	2.27	0.0	1
G000196835	Monoisolate	Complete Genome	10236715	71.29	9513	3148626	90.62470724250895	100.0	0.0	0.0	4
G000196855	Monoisolate	Complete Genome	1954080	36.66	1911	580481	87.51519896831246	99.44	0.0	0.0	4
G000196875	Monoisolate	Complete Genome	4061296	63.61	3747	1238434	89.84540895320114	99.83	0.43	0.0	4
G000196895	Monoisolate	Complete Genome	3698650	62.52	3925	1089607	86.77374177064605	99.84	0.0	0.0	1
G000197735	Monoisolate	Complete Genome	3918192	59.27	3736	1166330	87.69677443065578	99.74	0.46	0.0	6
G000198515	Monoisolate	Complete Genome	4587455	53.26	3856	1402076	90.06654016224682	97.41	1.3	20.0	3
G000198775	Monoisolate	Complete Genome	3750138	60.71	3338	1074343	84.40601385869	97.95	0.0	0.0	3
G000199675	Monoisolate	Complete Genome	3532378	53.85	3186	1109590	92.56183794599558	93.64	4.73	0.0	2
G000200595	Monoisolate	Complete Genome	1672681	44.51	1673	529833	93.32281528874901	99.44	0.89	0.0	2
G000200715	Environment	Chromosome	2045086	57.38	1923	618024	89.03860277758491	99.03	0.0	0.0	1
G000202635	Monoisolate	Complete Genome	3982034	70.28	3640	1234154	91.32111880511317	99.49	0.51	0.0	2
G000202835	Monoisolate	Complete Genome	4214744	66.97	3889	1287924	90.03486332740493	100.0	0.0	0.0	2
G000203835	Monoisolate	Complete Genome	9054847	72.0	8159	2710884	88.21106530016465	100.0	0.0	0.0	6
G000203855	Monoisolate	Complete Genome	3348624	44.42	3131	958311	84.30839055086507	99.38	2.24	0.0	5
G000203895	Monoisolate	Complete Genome	5236194	66.8	5118	1607199	90.42917432012642	99.7	1.29	57.14	3
G000204015	Monoisolate	Scaffold	5411525	61.05	4722	1635400	89.04789315396306	98.76	0.0	0.0	1
G000204035	Monoisolate	Scaffold	3369316	67.07	3277	1026715	89.77341395108087	92.85	0.41	20.0	1
G000204075	Monoisolate	Complete Genome	7105752	41.41	5927	1994525	82.70316779983314	99.33	0.0	0.0	4
G000204135	Monoisolate	Complete Genome	1106197	41.08	943	347922	92.68837286667745	98.98	0.0	0.0	1
G000204155	Monoisolate	Complete Genome	6732271	70.85	6000	2040536	89.30830324566554	100.0	0.79	0.0	3
G000204175	Monoisolate	Scaffold	1176836	39.02	1015	361828	90.6001345981938	97.89	0.12	0.0	1
G000204195	Monoisolate	Contig	5530232	64.86	5055	1675287	89.2569425658815	99.56	1.14	0.0	1
G000204235	Monoisolate	Contig	2623290	59.93	2572	787671	88.45773818373111	100.0	0.0	0.0	1
G000204255	Monoisolate	Complete Genome	1179220	39.02	1001	363445	90.82300164515527	97.89	0.12	0.0	1
G000204315	Monoisolate	Contig	3039623	51.64	2902	962939	93.34266124450302	99.07	1.8	50.0	1
G000204415	Monoisolate	Complete Genome	3026645	50.99	3049	888065	86.43382359014684	99.35	0.65	0.0	2
G000204565	Monoisolate	Complete Genome	3207592	28.23	2990	931499	85.55997770289987	100.0	0.0	0.0	10
G000204585	Monoisolate	Chromosome	1772718	32.46	2182	538056	89.38392908516752	98.06	0.0	0.0	1
G000204605	Monoisolate	Contig	7712377	72.73	6742	2295104	87.68526227387484	100.0	0.0	0.0	1
G000204645	Monoisolate	Complete Genome	5070751	67.9	4797	1569724	91.2096255564511	99.85	0.46	0.0	3
G000204925	Monoisolate	Complete Genome	1840348	41.99	1992	559090	89.48742303086156	100.0	0.6	0.0	1
G000205025	Monoisolate	Scaffold	2831696	48.14	2557	854088	88.87066267000414	100.0	0.11	0.0	1
G000205165	Monoisolate	Scaffold	3789812	48.52	3073	1177322	91.54696855675162	99.13	0.0	0.0	1
G000208385	Monoisolate	Complete Genome	2227296	50.56	1865	682462	90.29298306107495	100.0	2.3	33.33	3
G000208405	Monoisolate	Complete Genome	2568361	57.11	2283	776647	89.09904020501791	100.0	0.63	0.0	4
G000209385	Monoisolate	Scaffold	2219029	38.77	2076	688378	91.40362744245344	98.73	0.0	0.0	1
G000209465	Monoisolate	Scaffold	3288100	35.69	3087	995394	89.19436756789635	96.2	0.0	0.0	1
G000209515	Monoisolate	Contig	3017625	42.06	3041	903014	88.15498943705728	99.57	2.16	25.0	0
G000209655	Monoisolate	Complete Genome	3924810	56.91	3683	1224219	91.90472914612428	100.0	0.0	0.0	2
G000209675	Monoisolate	Complete Genome	2694139	39.87	2516	816087	89.24873586700612	100.0	0.0	0.0	6
G000209815	Monoisolate	Chromosome	3164379	38.47	3328	963874	89.73220338018929	97.33	0.0	0.0	0
G000210055	Monoisolate	Chromosome	3608022	65.48	3228	1060114	86.57000982809971	75.96	0.81	0.0	1
G000210095	Monoisolate	Chromosome	2573208	53.45	2356	787553	90.17891285896826	97.82	0.0	0.0	1
G000210375	Monoisolate	Chromosome	6788435	44.27	6257	1891378	82.08098037323772	99.13	0.0	0.0	2
G000210575	Monoisolate	Chromosome	3763317	57.56	3132	1140986	89.34057375448307	97.12	0.0	0.0	1
G000210615	Monoisolate	Chromosome	1966750	37.21	2029	613865	91.95123935426464	72.41	0.0	0.0	1
G000210715	Monoisolate	Chromosome	2728333	63.0	2357	807886	87.2472311847564	88.14	0.62	0.0	0
G000210915	Monoisolate	Complete Genome	3437906	36.75	3279	1089947	93.41433419063814	95.09	1.79	0.0	2
G000211155	Monoisolate	Chromosome	1171629	38.96	1007	361461	90.91111606148363	97.89	0.12	0.0	0
G000211475	Monoisolate	Complete Genome	1861320	42.74	2005	583589	92.3605828121978	100.0	0.5	0.0	1
G000211835	Monoisolate	Contig	3618708	65.09	3328	1116254	90.88951084199111	98.91	0.0	0.0	1
G000211855	Monoisolate	Complete Genome	3296168	30.82	2979	1028688	91.9581465507826	99.67	0.0	0.0	2
G000212335	Monoisolate	Complete Genome	5393591	44.04	4606	1597001	87.24760553775769	100.0	0.51	0.0	5
G000212375	Monoisolate	Complete Genome	2186370	52.47	1731	649616	87.55869317636082	99.92	0.0	0.0	2
G000212395	Monoisolate	Complete Genome	1898865	33.87	1859	597731	92.7411901319999	98.28	1.72	0.0	2
G000212415	Monoisolate	Complete Genome	3055580	51.47	2588	942009	90.84926593314526	100.0	0.7	0.0	4
G000212675	Monoisolate	Complete Genome	4200534	61.42	3785	1214683	85.19873901746779	100.0	0.0	0.0	3
G000212695	Monoisolate	Complete Genome	4266344	74.72	3826	1314479	90.78346706219658	100.0	0.58	0.0	2
G000212735	Monoisolate	Complete Genome	8771651	47.1	6937	2660492	89.38478058463566	99.49	2.53	0.0	2
G000212915	Monoisolate	Chromosome	2991798	34.99	2505	878444	86.51733840319433	97.33	0.0	0.0	3
G000213055	Monoisolate	Chromosome	7506727	73.08	6467	2166295	85.02857503676368	99.89	0.0	0.0	6
G000213215	Monoisolate	Complete Genome	2137654	34.15	2484	649319	89.46330884231031	99.4	0.0	0.0	1
G000213255	Monoisolate	Complete Genome	3135972	43.45	2970	968752	91.01895680191022	97.98	1.48	0.0	3
G000213295	Monoisolate	Scaffold	2536778	40.04	2346	792310	92.028234240442	94.34	0.24	0.0	0
G000213335	Monoisolate	Scaffold	2158589	41.11	2253	643779	87.85336161724163	51.53	0.0	0.0	0
G000213355	Monoisolate	Scaffold	2263841	41.49	2532	668891	87.02161503391802	43.98	0.22	0.0	1
G000213555	Monoisolate	Scaffold	5176087	39.61	4158	1549350	88.20918195540376	100.0	0.55	0.0	1
G000213575	Monoisolate	Scaffold	3954365	37.47	3430	1208937	90.08614531030898	100.0	0.0	0.0	1
G000213595	Monoisolate	Scaffold	3693727	53.93	3647	1069000	85.25543441624137	98.46	1.41	0.0	1
G000213805	Monoisolate	Complete Genome	4920769	63.51	4463	1482489	88.7674060700675	99.6	0.11	0.0	4
G000213825	Monoisolate	Complete Genome	2143887	35.55	2353	634533	87.17754247308743	98.47	0.38	0.0	5
G000213935	Monoisolate	Contig	3106595	69.49	2809	956050	90.67747807486975	99.1	0.45	0.0	1
G000213975	Monoisolate	Scaffold	2761262	55.98	2524	849892	90.6894021646624	99.31	0.05	0.0	0
G000214035	Monoisolate	Contig	4234613	66.97	3884	1310887	91.21173528726237	99.59	0.0	0.0	1
G000214075	Monoisolate	Contig	6698929	46.04	5544	1860534	81.83306615132061	99.67	0.0	0.0	1
G000214095	Monoisolate	Complete Genome	3207552	56.59	3251	981246	90.1212513468215	99.34	1.86	0.0	2
G000214155	Monoisolate	Complete Genome	4643668	68.37	4356	1459535	92.60959224475135	100.0	0.15	0.0	2
G000214175	Monoisolate	Complete Genome	4863490	62.24	4561	1519370	92.04902240983327	99.27	0.24	0.0	3
G000214215	Monoisolate	Complete Genome	3899940	44.29	3519	1174824	88.7597501500023	100.0	0.0	0.0	8
G000214335	Monoisolate	Contig	4074265	63.72	3905	1265566	91.5185683798182	99.55	0.0	0.0	1
G000214355	Monoisolate	Complete Genome	3855671	49.8	3405	1225073	93.62845014525357	98.86	2.27	0.0	2
G000214375	Monoisolate	Complete Genome	4059867	50.84	3500	1266573	91.93328254349218	98.86	1.14	0.0	2
G000214415	Monoisolate	Complete Genome	1854197	32.3	1822	523268	83.13048721360244	99.52	0.0	0.0	2
G000214435	Monoisolate	Complete Genome	2892255	46.63	2819	842315	85.79409491901647	99.37	0.0	0.0	8
G000214595	Monoisolate	Contig	3261960	43.37	3120	1021386	92.25784497663982	100.0	0.7	0.0	1
G000214665	Monoisolate	Complete Genome	5051681	51.31	4614	1524220	88.90062535619332	99.93	1.39	0.0	3
